,Name,Rating,Review,C-type,HQ,Old,Employee
3486,Carnival Cinemas,4.0,(144 Reviews),"Mumbai,Maharashtra + 47 more",10 years old,201-500 Employees (India),nan
3487,Welspun Floorin...,3.7,(144 Reviews),Public,Hyderabad + 11 more,6 years old,51-200 Employees (India)
3488,Anunta Technolog...,3.8,(144 Reviews),Private,"Mumbai,Maharashtra + 8 more",10 years old,201-500 Employees (India)
3489,Gufic Bioscience...,3.8,(144 Reviews),Public,"Mumbai,Maharashtra + 20 more",52 years old,201-500 Employees (India)
3490,NatWest Markets,4.1,(144 Reviews),Private,Edinburgh + 5 more,6 years old,201-500 Employees (India)
3491,PPD,4.5,(144 Reviews),Private,"Wilmington,North Carolina + 8 more",37 years old,1k-5k Employees (India)
3492,JoulestoWatts Bu...,2.9,(144 Reviews),Private,"Bangalore,Karnataka + 11 more",7 years old,51-200 Employees (India)
3493,Adhunik Metaliks,3.7,(254 Reviews),Public,"Kolkata,West Bengal + 10 more",21 years old,501-1k Employees (India)
3494,BMW,3.9,(169 Reviews),Private,Munich + 32 more,106 years old,1k-5k Employees (India)
3495,Cooper-Standard ...,3.8,(143 Reviews),Public,"Northville,Michigan + 11 more",62 years old,201-500 Employees (India)
3496,KJS Cement,3.9,(143 Reviews),Private,"Satna,Madhya Pradesh + 17 more",10 years old,501-1k Employees (India)
3497,A.O. Smith,4.3,(143 Reviews),Private,Milwaukee + 27 more,148 years old,1k-5k Employees (India)
3498,Brawn Laboratori...,3.6,(143 Reviews),Private,"Delhi/NCR,New Delhi + 8 more",32 years old,501-1k Employees (India)
3499,Akbar Travels,3.8,(143 Reviews),Private,"Mumbai,Maharashtra + 27 more",44 years old,11-50 Employees (India)
3500,BMA Wealth Creat...,3.4,(143 Reviews),Private,"Kolkata,West Bengal + 31 more",17 years old,5k-10k Employees (Global)
3501,Magma Housing Fi...,4.3,(143 Reviews),Public,"Kolkata,West Bengal + 55 more",33 years old,5k-10k Employees (India)
3502,Nuclear Power Co...,3.9,(143 Reviews),Mumbai + 17 more,35 years old,10k-50k Employees (India),nan
3503,Chennai Petroleu...,4.4,(143 Reviews),Public,"Chennai,Tamil Nadu + 6 more",57 years old,1k-5k Employees (India)
3504,Suresh Surana & ...,3.5,(143 Reviews),LLP,"Mumbai,Maharashtra + 12 more",38 years old,1k-5k Employees (India)
3505,Galaxy Weblinks,4.6,(143 Reviews),Private,"Indore,Madhya Pradesh + 5 more",22 years old,501-1k Employees (India)
3506,AGI Glaspac,3.9,(143 Reviews),Private,Hyderabad + 3 more,50 years old,1k-5k Employees (India)
3507,Excelra Knowledg...,3.7,(143 Reviews),Private,"Hyderabad,Telangana + 6 more",21 years old,501-1k Employees (India)
3508,Mahindra Electri...,3.7,(143 Reviews),Private,Bengaluru + 8 more,28 years old,201-500 Employees (India)
3509,L&T Transportati...,4.6,(143 Reviews),Mumbai + 25 more,5k-10k Employees (India),nan,nan
3510,Chhatrapati Shiv...,4.2,(143 Reviews),Public,"Mumbai,Maharashtra + 4 more",16 years old,1k-5k Employees (India)
3511,Ebix Smartclass ...,3.5,(143 Reviews),Gurugram + 33 more,8 years old,501-1k Employees (India),nan
3512,A.O. Smith,4.3,(143 Reviews),Private,Milwaukee + 27 more,148 years old,1k-5k Employees (India)
3513,Microlink Soluti...,3.6,(143 Reviews),Private,"Ahmedabad,Gujarat + 15 more",26 years old,501-1k Employees (India)
3514,Vacmet India,4.0,(143 Reviews),Public,"Agra,Uttar Pradesh + 10 more",29 years old,501-1k Employees (India)
3515,Omega Healthcare...,3.6,(143 Reviews),Bengaluru/Bangalore + 4 more,10k-50k Employees (Global),nan,nan
3516,Chennai Petroleu...,4.4,(143 Reviews),Public,"Chennai,Tamil Nadu + 6 more",57 years old,1k-5k Employees (India)
3517,Akbar Travels,3.8,(143 Reviews),Private,"Mumbai,Maharashtra + 27 more",44 years old,11-50 Employees (India)
3518,Brawn Laboratori...,3.6,(143 Reviews),Private,"Delhi/NCR,New Delhi + 8 more",32 years old,501-1k Employees (India)
3519,Inspira Enterpri...,4.1,(143 Reviews),Private,"Mumbai,Maharashtra + 20 more",14 years old,1k-5k Employees (India)
3520,ecare India,3.7,(143 Reviews),Private,"Chennai,Tamil Nadu + 3 more",22 years old,1k-5k Employees (India)
3521,RG Stone Urology...,4.4,(143 Reviews),Private,"Delhi/NCR,Delhi + 11 more",36 years old,201-500 Employees (India)
3522,Kalyani Motors,3.9,(143 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",16 years old,201-500 Employees (India)
3523,Incred Finance,4.2,(143 Reviews),Private,"Mumbai,Maharashtra + 18 more",6 years old,501-1k Employees (India)
3524,Vindhya e-Info M...,4.0,(142 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",16 years old,1k-5k Employees (India)
3525,Brink's,4.3,(142 Reviews),Private,"Farmers Branch,Texas + 29 more",163 years old,201-500 Employees (India)
3526,Mindteck,3.7,(142 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",31 years old,501-1k Employees (India)
3527,InfoBeans,3.9,(142 Reviews),Public,"Indore,Madhya Pradesh + 3 more",22 years old,1k-5k Employees (India)
3528,Nippon Express,4.2,(142 Reviews),Public,"Tokyo,Tokyo + 26 more",75 years old,501-1k Employees (India)
3529,AIG Business Sol...,4.5,(142 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",9 years old,51-200 Employees (India)
3530,Millennium Engin...,4.2,(142 Reviews),Private,Pune + 9 more,23 years old,11-50 Employees (India)
3531,Festo,3.9,(142 Reviews),Private,"Ludhiana,Punjab + 11 more",36 years old,201-500 Employees (India)
3532,IM Gears,3.8,(142 Reviews),Chennai + 3 more,57 years old,201-500 Employees (India),nan
3533,Gangar Eyenation,4.0,(142 Reviews),Private,"Mumbai,Maharashtra + 13 more",45 years old,501-1k Employees (India)
3534,B4S Solutions,4.2,(142 Reviews),Private,"Ghaziabad,Uttar Pradesh + 33 more",33 years old,11-50 Employees (India)
3535,The Phoenix Mill...,3.9,(142 Reviews),Public,"Mumbai,Maharashtra + 7 more",117 years old,201-500 Employees (India)
3536,SMR Automotive S...,3.9,(142 Reviews),Private,Stuttgart + 15 more,87 years old,201-500 Employees (India)
3537,Pitney Bowes,4.2,(142 Reviews),Private,Stamford + 10 more,18 years old,501-1k Employees (India)
3538,SRM Technologies...,3.9,(142 Reviews),Private,"Chennai,Tamil Nadu + 9 more",23 years old,501-1k Employees (India)
3539,Andhra Pradesh S...,4.0,(142 Reviews),Other,Vijayawada + 21 more,8 years old,201-500 Employees (India)
3540,Kanpur Fertilize...,4.1,(142 Reviews),Private,Kanpur + 13 more,12 years old,501-1k Employees (India)
3541,IM Gears,3.8,(142 Reviews),Chennai + 3 more,57 years old,201-500 Employees (India),nan
3542,The Phoenix Mill...,3.9,(142 Reviews),Public,"Mumbai,Maharashtra + 7 more",117 years old,201-500 Employees (India)
3543,In Time Tec Visi...,4.4,(142 Reviews),Private,"Meridian,ID + 2 more",13 years old,201-500 Employees (India)
3544,Odessa,4.1,(142 Reviews),Private,Philadelphia + 1 more,24 years old,501-1k Employees (India)
3545,Kimberly-Clark,4.4,(142 Reviews),Private,"Irving,Texas + 31 more",150 years old,501-1k Employees (India)
3546,IMC,4.1,(141 Reviews),Private,"Chennai,Tamil Nadu + 25 more",87 years old,501-1k Employees (India)
3547,Saurav Chemicals,3.9,(141 Reviews),Private,"Panchkula,Haryana + 8 more",31 years old,201-500 Employees (India)
3548,IPSoft,3.1,(141 Reviews),Private,"New York,New York + 2 more",24 years old,501-1k Employees (India)
3549,Poorvika Mobiles,4.3,(141 Reviews),Private,"Chennai,Tamil Nadu + 23 more",18 years old,501-1k Employees (India)
3550,Amcor Flexibles ...,3.8,(141 Reviews),Private,"Melbourne,Victoria + 11 more",158 years old,201-500 Employees (India)
3551,PMT Machines,3.7,(141 Reviews),Private,Pune + 7 more,61 years old,51-200 Employees (India)
3552,Forbes & Company,4.0,(141 Reviews),Private,Mumbai + 15 more,257 years old,501-1k Employees (India)
3553,BLS Internationa...,3.4,(141 Reviews),Public,"Delhi/NCR,New Delhi + 33 more",39 years old,51-200 Employees (India)
3554,Vishvaraj Infras...,4.1,(141 Reviews),Public,"Nagpur,Maharashtra + 24 more",23 years old,201-500 Employees (India)
3555,Flipkart Health+,4.0,(141 Reviews),Private,"Kolkata,West Bengal + 17 more",9 years old,501-1k Employees (India)
3556,ATC Telecom Infr...,4.3,(141 Reviews),Private,New Delhi + 32 more,18 years old,501-1k Employees (India)
3557,Confederation of...,3.4,(141 Reviews),Private,"Delhi/NCR,New Delhi + 27 more",127 years old,5k-10k Employees (India)
3558,Reliable Autotec...,4.4,(141 Reviews),"Nasik/Nashik,Maharashtra + 3 more",37 years old,501-1k Employees (India),nan
3559,Tuaman Engineeri...,4.1,(141 Reviews),Private,"Kolkata,West Bengal + 13 more",17 years old,501-1k Employees (India)
3560,Resonance Eduven...,3.6,(141 Reviews),Public,"Kota,Rajasthan + 27 more",21 years old,51-200 Employees (India)
3561,AppInventiv Tech...,4.0,(141 Reviews),Private,"Noida,Uttar Pradesh + 2 more",8 years old,501-1k Employees (India)
3562,Danone Foods Bev...,3.8,(390 Reviews),Private,Paris + 28 more,103 years old,501-1k Employees (India)
3563,Fresenius Medica...,3.8,(140 Reviews),Public,Massachusetts + 24 more,26 years old,51-200 Employees (India)
3564,D'Decor Home Fab...,3.6,(140 Reviews),Private,"Mumbai,Maharashtra + 17 more",23 years old,201-500 Employees (India)
3565,Padmini VNA Mech...,3.9,(140 Reviews),Private,"Gurgaon/Gurugram,Haryana",31 years old,201-500 Employees (India)
3566,Ushodaya Enterpr...,4.0,(140 Reviews),Private,Hyderabad + 23 more,48 years old,51-200 Employees (India)
3567,Danieli,3.9,(140 Reviews),Private,"Buttrio,Udine + 8 more",108 years old,501-1k Employees (India)
3568,D'Decor Home Fab...,3.6,(140 Reviews),Private,"Mumbai,Maharashtra + 17 more",23 years old,201-500 Employees (India)
3569,Ushodaya Enterpr...,4.0,(140 Reviews),Private,Hyderabad + 23 more,48 years old,51-200 Employees (India)
3570,Kaleesuwari Refi...,3.9,(140 Reviews),Sole Proprietorship,"Chennai,Tamil Nadu + 29 more",29 years old,1k-5k Employees (India)
3571,Al Hassan Engine...,4.2,(140 Reviews),Private,Ruwi + 13 more,22 years old,1k-5k Employees (Global)
3572,Integrated Wirel...,3.8,(140 Reviews),Private,Noida + 28 more,18 years old,501-1k Employees (India)
3573,Vidya Mandir Cla...,3.6,(140 Reviews),Private,New Delhi + 35 more,33 years old,1-10 Employees (India)
3574,Padmini VNA Mech...,3.9,(140 Reviews),Private,"Gurgaon/Gurugram,Haryana",31 years old,201-500 Employees (India)
3575,Gaja Engineering,4.0,(140 Reviews),Private,Hyderabad + 12 more,11 years old,201-500 Employees (India)
3576,Miracle Software...,3.5,(140 Reviews),Private,Novi + 5 more,28 years old,1k-5k Employees (India)
3577,Synopsys,4.2,(140 Reviews),Public,"Mountain View,California + 7 more",36 years old,1k-5k Employees (India)
3578,The Pride Hotel,4.2,(176 Reviews),Private,"Mumbai,Maharashtra + 18 more",47 years old,501-1k Employees (India)
3579,Med Manor Organi...,3.4,(139 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 26 more",24 years old,51-200 Employees (India)
3580,Timex Group Indi...,4.2,(139 Reviews),Public,"Noida,Uttar Pradesh + 20 more",168 years old,201-500 Employees (India)
3581,Trelleborg,4.2,(139 Reviews),Private,"Trelleborg,Baden-Württemberg + 4 more",70 years old,51-200 Employees (India)
3582,Ciron Drugs & Ph...,3.5,(139 Reviews),Private,"Mumbai,Maharashtra + 10 more",32 years old,51-200 Employees (India)
3583,Major Brands,3.6,(139 Reviews),Private,"Mumbai,Maharashtra + 10 more",21 years old,51-200 Employees (India)
3584,Narayana Junior ...,3.8,(139 Reviews),Hyderabad + 24 more,43 years old,10k-50k Employees (India),nan
3585,Manpasand Bevera...,3.3,(139 Reviews),Private,"Vadodara/Baroda,Gujarat + 30 more",24 years old,1k-5k Employees (India)
3586,N Ranga Rao And ...,4.4,(139 Reviews),Private,"Mysore/Mysuru,Karnataka + 36 more",74 years old,501-1k Employees (India)
3587,Federal Mogul Po...,3.9,(139 Reviews),Lake Forest + 13 more,123 years old,201-500 Employees (India),nan
3588,NetTantra Techno...,4.8,(139 Reviews),Private,"Santa Clara,California",13 years old,51-200 Employees (India)
3589,ADARSH DEVELOPER...,4.3,(139 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",34 years old,501-1k Employees (India)
3590,DataMetica,4.2,(139 Reviews),Private,"Pune,Maharashtra",9 years old,501-1k Employees (India)
3591,Pitti Lamination...,4.0,(139 Reviews),"Hyderabad/Secunderabad,Telangana + 2 more",39 years old,201-500 Employees (India),nan
3592,Pramati Technolo...,4.4,(139 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",24 years old,1k-5k Employees (India)
3593,Aditya Infotech,3.6,(139 Reviews),Private,"Noida,Uttar Pradesh + 31 more",28 years old,501-1k Employees (India)
3594,Anglo-Eastern Sh...,4.2,(139 Reviews),Private,Kowloon + 6 more,48 years old,1k-5k Employees (India)
3595,Aquity Solutions,3.6,(139 Reviews),Cary + 9 more,23 years old,201-500 Employees (India),nan
3596,Green Park Hotel...,4.1,(139 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",31 years old,1k-5k Employees (India)
3597,Ksk Energy Ventu...,3.8,(139 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 11 more",21 years old,1k-5k Employees (India)
3598,MSP Steel & Powe...,4.0,(139 Reviews),Public,"Kolkata,West Bengal + 8 more",92 years old,1k-5k Employees (India)
3599,CRPF,4.5,(139 Reviews),New Delhi + 38 more,83 years old,1 Lakh+ Employees (India),nan
3600,BOB Financial So...,4.0,(139 Reviews),Public,"Mumbai,Maharashtra + 42 more",28 years old,201-500 Employees (India)
3601,Kronos Solutions,4.4,(139 Reviews),Private,"Lowell,Massachusetts + 1 more",45 years old,1k-5k Employees (India)
3602,ISRO Satellite C...,4.4,(139 Reviews),Bengaluru + 10 more,46 years old,10k-50k Employees (India),nan
3603,Biz 2 Credit Inf...,4.2,(139 Reviews),Private,"New York,New York + 2 more",15 years old,201-500 Employees (India)
3604,Datamatics Busin...,3.8,(139 Reviews),Public,Mumbai + 3 more,40 years old,1k-5k Employees (India)
3605,Imarticus Learni...,3.8,(139 Reviews),Private,"Mumbai,Maharashtra + 11 more",10 years old,201-500 Employees (India)
3606,Publicis,3.9,(1.9k Reviews),Private,Paris + 8 more,96 years old,11-50 Employees (India)
3607,Central Tool Roo...,3.8,(138 Reviews),Public,"Bhubaneswar,Odisha + 8 more",46 years old,51-200 Employees (India)
3608,Path Infotech,4.1,(138 Reviews),Private,"Noida,Uttar Pradesh + 6 more",31 years old,501-1k Employees (India)
3609,IIT Madras,4.4,(138 Reviews),Private,Chennai + 2 more,63 years old,1k-5k Employees (India)
3610,Sudhir Power,4.1,(138 Reviews),Private,"Gurgaon/Gurugram,Haryana + 21 more",49 years old,1k-5k Employees (India)
3611,Rasna,3.6,(138 Reviews),Private,"Ahmedabad,Gujarat + 30 more",46 years old,201-500 Employees (India)
3612,Hindustan Pencil...,4.3,(138 Reviews),Private,"Mumbai,Maharashtra + 33 more",64 years old,201-500 Employees (India)
3613,Pha India,3.9,(138 Reviews),Private,"Sriperumbudur,Tamil Nadu + 4 more",23 years old,1k-5k Employees (India)
3614,Groz Engineering...,4.1,(138 Reviews),Private,"Gurgaon/Gurugram,Haryana + 15 more",46 years old,1k-5k Employees (India)
3615,Maharishi Vidya ...,4.2,(138 Reviews),Private,Bhopal + 52 more,39 years old,5k-10k Employees (India)
3616,Apex CoVantage,3.3,(138 Reviews),Private,"Miami Beach,Florida + 7 more",34 years old,51-200 Employees (India)
3617,Sun Vacuum Forme...,3.8,(138 Reviews),Private,"Delhi/NCR,Delhi + 6 more",36 years old,51-200 Employees (India)
3618,Perkins,4.5,(138 Reviews),Private,"Chennai,Tamil Nadu + 6 more",90 years old,51-200 Employees (India)
3619,Anchor Health an...,3.7,(138 Reviews),Private,"Mumbai,Maharashtra + 29 more",30 years old,501-1k Employees (India)
3620,INFRES METHODEX,3.7,(138 Reviews),Private,Faridabad + 34 more,35 years old,501-1k Employees (India)
3621,Ford Business Se...,4.6,(138 Reviews),Chennai + 10 more,24 years old,5k-10k Employees (India),nan
3622,Raksha TPA,3.8,(138 Reviews),Private,"Delhi/NCR,Delhi + 18 more",20 years old,201-500 Employees (India)
3623,Sical Logistics,3.8,(138 Reviews),Public,"Chennai,Tamil Nadu + 17 more",67 years old,201-500 Employees (India)
3624,Naandi Foundatio...,4.1,(138 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 34 more",24 years old,51-200 Employees (India)
3625,Bill Forge,3.8,(138 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",37 years old,201-500 Employees (India)
3626,Gujarat Alkalies...,4.5,(138 Reviews),Public,"Bharuch,Gujarat + 4 more",49 years old,1k-5k Employees (India)
3627,Dishman Carbogen...,3.8,(138 Reviews),Bubendorf + 2 more,15 years old,501-1k Employees (India),nan
3628,TELUS Internatio...,4.2,(138 Reviews),Pasig City + 4 more,17 years old,1k-5k Employees (India),nan
3629,Ultra Engineers,4.1,(138 Reviews),Private,"Pune,Maharashtra + 1 more",31 years old,1k-5k Employees (India)
3630,Petpooja,4.6,(138 Reviews),Private,Ahmedabad + 18 more,11 years old,501-1k Employees (India)
3631,Cliantha Researc...,4.4,(138 Reviews),Public,"Ahmedabad,Gujrat + 5 more",18 years old,501-1k Employees (India)
3632,Shantha Biotechn...,4.6,(138 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",29 years old,11-50 Employees (India)
3633,Walsons Facility...,4.1,(138 Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",26 years old,5k-10k Employees (India)
3634,Weatherford,4.4,(138 Reviews),Private,"Houston,Texas + 14 more",81 years old,1k-5k Employees (India)
3635,Pierian Services,3.7,(138 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",20 years old,501-1k Employees (India)
3636,Mitsubishi Heavy...,4.2,(212 Reviews),Private,Tokyo + 20 more,138 years old,51-200 Employees (India)
3637,ARCADIS,4.1,(155 Reviews),Public,Amsterdam + 20 more,13 years old,10k-50k Employees (India)
3638,Asia-Pacific Ins...,4.4,(137 Reviews),Private,"Delhi/NCR,Delhi + 6 more",26 years old,51-200 Employees (India)
3639,R-Logic Technolo...,4.2,(137 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",26 years old,1k-5k Employees (India)
3640,ArcelorMittal,4.1,(137 Reviews),Private,Boulevard D’Avranches + 19 more,16 years old,501-1k Employees (India)
3641,APM Terminals,4.5,(137 Reviews),Private,The Hague + 14 more,21 years old,501-1k Employees (India)
3642,CEVA Logistics,4.0,(137 Reviews),Private,Marseille + 24 more,16 years old,1k-5k Employees (India)
3643,Aristocrat Techn...,4.3,(137 Reviews),Private,"North Ryde,NSW + 5 more",69 years old,201-500 Employees (India)
3644,Western Union,4.3,(137 Reviews),Private,"Denver,Colorado + 14 more",171 years old,501-1k Employees (India)
3645,Sukhbir Agro Ene...,3.7,(137 Reviews),Private,"Delhi/NCR,Delhi + 15 more",23 years old,501-1k Employees (India)
3646,MNC Group,3.7,(137 Reviews),Jakarta + 32 more,33 years old,1 Lakh+ Employees (Global),nan
3647,Sanmarg Projects,4.1,(137 Reviews),Private,"Noida,Uttar Pradesh + 29 more",15 years old,201-500 Employees (India)
3648,Taj Mahal Hotel,4.7,(137 Reviews),Private,Mumbai + 6 more,119 years old,10k-50k Employees (India)
3649,HealthifyMe,3.3,(137 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",10 years old,1k-5k Employees (India)
3650,SLMG Beverages,3.9,(137 Reviews),Lucknow + 18 more,201-500 Employees (India),nan,nan
3651,CR Asia,3.8,(137 Reviews),Bangkok + 6 more,31 years old,201-500 Employees (India),nan
3652,Freyr Solutions,4.1,(137 Reviews),Private,"Princeton,New Jersey",15 years old,501-1k Employees (India)
3653,MAFIL,3.9,(137 Reviews),Hyderabad/Secunderabad + 65 more,51-200 Employees (India),nan,nan
3654,Trigo Quality Pr...,2.8,(137 Reviews),Private,"Tel Aviv,Tel Aviv + 17 more",25 years old,11-50 Employees (India)
3655,Europa Locks,3.5,(137 Reviews),Private,"Pune,Maharashtra + 14 more",38 years old,51-200 Employees (India)
3656,Accutest Researc...,3.8,(137 Reviews),Private,"Navi Mumbai,Maharashtra + 3 more",24 years old,501-1k Employees (India)
3657,Loadshare Networ...,3.9,(137 Reviews),Private,"Bangalore,Karnataka + 37 more",5 years old,501-1k Employees (India)
3658,State Street Glo...,3.8,(137 Reviews),Private,"Boston,Massachusetts + 3 more",44 years old,1k-5k Employees (Global)
3659,Arya Omnitalk Wi...,4.0,(137 Reviews),Private,Pune + 24 more,20 years old,201-500 Employees (India)
3660,TMF Group,4.0,(137 Reviews),Private,Amsterdam + 7 more,34 years old,501-1k Employees (India)
3661,IDMC,4.0,(136 Reviews),Private,Vitthal Udyognagar + 9 more,44 years old,501-1k Employees (India)
3662,Pinkerton,3.9,(136 Reviews),Private,"Ann Arbor,Detroit + 11 more",172 years old,201-500 Employees (India)
3663,Escorts Construc...,4.1,(136 Reviews),Public,"Faridabad,Haryana + 23 more",52 years old,1k-5k Employees (India)
3664,Azure Hospitalit...,4.4,(136 Reviews),Private,"Delhi,NCT + 9 more",13 years old,201-500 Employees (India)
3665,Micro Plastics,3.9,(136 Reviews),Harohalli + 6 more,33 years old,201-500 Employees (India),nan
3666,Vcs Quality Serv...,4.5,(136 Reviews),Private,"Mumbai,Maharashtra + 26 more",20 years old,51-200 Employees (India)
3667,Envestnet Asset ...,4.1,(136 Reviews),Public,"Chicago,Illinois + 2 more",23 years old,1k-5k Employees (India)
3668,Office Beacon,3.0,(136 Reviews),Private,California + 9 more,21 years old,501-1k Employees (India)
3669,Pacific India,3.5,(136 Reviews),Private,New Delhi + 20 more,26 years old,1k-5k Employees (Global)
3670,Applus Velosi,3.8,(136 Reviews),Private,Abu Dhabi + 16 more,40 years old,501-1k Employees (India)
3671,Netmeds.com,3.8,(136 Reviews),Private,"Chennai,Tamil Nadu + 23 more",7 years old,501-1k Employees (India)
3672,Sraco,4.1,(136 Reviews),Private,Dammam + 13 more,40 years old,10k-50k Employees (Global)
3673,A2Z Infraservice...,4.1,(136 Reviews),Public,"Gurgaon/Gurugram,Haryana + 18 more",20 years old,201-500 Employees (India)
3674,Sterlite Industr...,4.2,(136 Reviews),Public,"Mumbai,Maharashtra + 13 more",47 years old,1k-5k Employees (India)
3675,Helloverify,3.6,(136 Reviews),"Noida,Uttar Pradesh + 4 more",10 years old,201-500 Employees (India),nan
3676,Dvara KGFS,4.0,(136 Reviews),Private,"Chennai,Tamil Nadu + 25 more",14 years old,1k-5k Employees (India)
3677,VERITY GLOBAL SO...,3.4,(136 Reviews),Mumbai + 8 more,201-500 Employees (India),nan,nan
3678,Porteck India In...,4.2,(136 Reviews),Private,"Jericho,New York + 3 more",20 years old,201-500 Employees (India)
3679,Elcamino Softwar...,3.1,(136 Reviews),Private,Gurugram + 1 more,12 years old,201-500 Employees (India)
3680,Citykart Retail,4.1,(136 Reviews),Private,"Delhi,NCT + 32 more",6 years old,201-500 Employees (India)
3681,Shriram Finance,3.5,(136 Reviews),Mumbai + 46 more,43 years old,51-200 Employees (India),nan
3682,SpeedLabs,3.8,(136 Reviews),Private,"Mumbai,Maharashtra + 13 more",7 years old,51-200 Employees (India)
3683,Massive Restaura...,4.1,(136 Reviews),Private,"Gurgaon,Haryana + 12 more",10 years old,501-1k Employees (India)
3684,Max Data Entry S...,4.4,(136 Reviews),Kolkata + 16 more,nan,nan,nan
3685,BharatPe,3.8,(136 Reviews),Private,"Bangalore,Karnataka + 38 more",4 years old,201-500 Employees (India)
3686,Hurix Systems,3.5,(136 Reviews),Private,"Mumbai,Maharashtra + 3 more",22 years old,501-1k Employees (India)
3687,BEO Software,4.8,(136 Reviews),"Kochi/Cochin,Kerala + 1 more",19 years old,51-200 Employees (India),nan
3688,NielsenIQ,4.1,(136 Reviews),Chicago + 11 more,99 years old,1k-5k Employees (India),nan
3689,Control Print,3.9,(136 Reviews),Public,"Mumbai,Maharashtra + 18 more",31 years old,501-1k Employees (India)
3690,Emerson Electric...,4.0,(136 Reviews),Public,"St Louis,Missouri + 19 more",132 years old,5k-10k Employees (India)
3691,e-Zest,4.0,(136 Reviews),Public,"Pune,Maharashtra",22 years old,501-1k Employees (India)
3692,GRT Jewellers,4.5,(135 Reviews),Private,"Chennai,Tamil Nadu + 16 more",58 years old,501-1k Employees (India)
3693,Cygnet Infotech,4.2,(135 Reviews),Private,Ahmedabad + 5 more,22 years old,1k-5k Employees (India)
3694,MSPL,4.1,(135 Reviews),Private,Hosapete + 22 more,61 years old,1k-5k Employees (India)
3695,Tbea Energy,4.0,(135 Reviews),Private,"Karjan,Gujrat + 12 more",12 years old,201-500 Employees (India)
3696,Nippon Koei Indi...,4.7,(135 Reviews),Private,"Delhi/NCR,Delhi + 25 more",14 years old,201-500 Employees (India)
3697,RNF Technologies,4.4,(135 Reviews),Private,"Noida,Uttar Pradesh + 2 more",13 years old,501-1k Employees (India)
3698,Teleindia Networ...,4.0,(135 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",16 years old,51-200 Employees (India)
3699,Hays Business So...,4.1,(135 Reviews),Public,"Gurgaon,Haryana + 2 more",11 years old,501-1k Employees (India)
3700,New Allenberry W...,3.7,(135 Reviews),Private,"Faridabad,Haryana + 7 more",51 years old,201-500 Employees (India)
3701,Gawar Constructi...,4.3,(135 Reviews),"Gurgaon/Gurugram,Haryana + 22 more",14 years old,501-1k Employees (India),nan
3702,Oxigen Services,3.9,(135 Reviews),Private,"Gurgaon,Haryana + 27 more",18 years old,51-200 Employees (India)
3703,BajajSons,3.9,(135 Reviews),Public,"Ludhiana,Punjab + 8 more",37 years old,1k-5k Employees (India)
3704,Garden Silk Mill...,4.1,(135 Reviews),Public,"Surat,Gujarat + 12 more",43 years old,1k-5k Employees (India)
3705,Siemens Healthin...,4.1,(135 Reviews),Erlangen + 12 more,126 years old,1k-5k Employees (India),nan
3706,HDFC Asset Manag...,3.6,(135 Reviews),Public,Mumbai + 62 more,23 years old,1k-5k Employees (India)
3707,Star Engineers I...,3.5,(135 Reviews),Private,"Pune,Maharashtra + 6 more",34 years old,1k-5k Employees (India)
3708,STYLAM Industrie...,3.5,(135 Reviews),Public,"Chandigarh,Chandigarh + 19 more",31 years old,201-500 Employees (India)
3709,HYT Engineering,3.5,(135 Reviews),Private,"Pune,Maharashtra + 7 more",45 years old,201-500 Employees (India)
3710,Bellsonica Auto ...,3.8,(135 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",66 years old,201-500 Employees (India)
3711,Chandan Steel,3.8,(135 Reviews),Public,"Mumbai,Maharashtra + 10 more",53 years old,11-50 Employees (India)
3712,Gallagher Servic...,3.9,(135 Reviews),Bengaluru/Bangalore + 4 more,nan,nan,nan
3713,Milk Mantra Dair...,3.6,(135 Reviews),Private,"Bhubaneswar,Odisha + 9 more",13 years old,201-500 Employees (India)
3714,Dataflow Group,3.5,(135 Reviews),Private,"Noida,Uttar Pradesh + 4 more",4 years old,51-200 Employees (India)
3715,Lucas Indian Ser...,4.0,(135 Reviews),Private,Chennai + 26 more,92 years old,201-500 Employees (India)
3716,Motilal Oswal,3.8,(135 Reviews),Public,Mumbai + 54 more,35 years old,501-1k Employees (India)
3717,Omninos Solution...,4.6,(135 Reviews),Chandigarh + 23 more,6 years old,201-500 Employees (India),nan
